Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
Have you ever noticed that most buildings that were designed in a computer look like they were designed in a computer? Not Jeff Shelton. He's an architect in Santa Barbara known for his whimsical homes.,Have you ever noticed that most [X things] that were [Y created method] look like they were [Y created method]? Not [Z person]. He's [profession] in [location] known for [unique quality],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/C3duNT2IIkc/,Content Marketing,Entertainment,7,"1,412,054"
"Almost everything looks better with simple defined shapes, whether it's cars, homes, appliances, or furniture.","Almost everything looks better with [X design principle], whether it's [Y examples]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/C9GSWRMoZdw/,Content Marketing,Education,8,"1,222,834"
The long low shelf or cabinet is such a hack in design.,The [X item] is such a hack in [Y field],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/DFbOyKUS2Ob/,Content Marketing,Education,9,"1,036,582"
"Old table, New table. Old door, New door. Old furniture, New furniture. Old bathroom, New bathroom. In an effort to get away from an overabundance of detail, it's like we've scrapped it entirely.","Old [X]. New [X]. [Repeated pattern]. In an effort to get away from [Y problem], it's like we've [Z overcorrection]",Comparison,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/C7kc6LSop9O/,Content Marketing,Entertainment,10,"723,872"
It's nuts that most people will never question this. Let's say someone has a thousand dollars....,It's nuts that most people will never question this. Let's say [X scenario]...,Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/C7ac_3hRMb1/?hl=en,Content Marketing,Entertainment,1,"6,075,031"
My wife and I lost our multimillion dollar home in a landslide but the bank still chases us for the mortgage.,My [X person] and I lost our [Y asset] in [Z disaster] but [unfair consequence],Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/DA9vtfjSUIB/?hl=en,Content Marketing,Entertainment,2,"3,517,829"
"Let's check this out. Yeah, I'm not going to sell the property...","Let's check this out. Yeah, [X statement]...",Raw Shock,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/themortgagekitchen/reel/DEEMcEvpPwZ/?hl=en,Content Marketing,Entertainment,3,"3,512,423"
"So when you're buying a home, right, essentially the month in which you buy it is not the first mortgage payment you'll make.","So when you're [X major action], right, essentially [Y counterintuitive fact]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/C10FY6oS4Vv/?hl=en,Content Marketing,Education,4,"3,024,446"
J.P. Morgan are now saying the chances of a recession are around 60 percent. It's gone up from 40 to 60 almost overnight. This is all coming off the back of these tariffs.,[X authority] are now saying the chances of [Y event] are around [Z percentage]. It's gone up from [old percentage] to [new percentage] almost overnight. This is all coming off the back of [cause],Secret Reveal,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/themortgagekitchen/reel/DIC-uAApcJN/?hl=en,Content Marketing,Education,5,"2,309,188"
"It's a really easy way to save yourself at least $100,000 when you're buying a home...",It's a really easy way to save yourself at least [X amount] when you're [Y action]...,Educational/Tutorial,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/C_jjOwzSS9t/?hl=en,Content Marketing,Education,6,"2,291,393"
What's happened in LA right now is very very sad and if there's one thing I can say about this it's insurance companies now are going to have 80 billion dollars worth of damages to pay out and the likelihood of that coming anytime soon is very very slim.,What's happened in [X location] right now is very very sad and if there's one thing I can say about this it's [Y industry] now are going to have [Z amount] worth of [obligation] and the likelihood of [outcome] is very very slim,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/themortgagekitchen/reel/DEq5isSpWW-/?hl=en,Content Marketing,Education,7,"2,244,885"
"Buying a home is great, but it's also really dangerous. Too many people don't really take into account that when you're buying a home, you're getting a mortgage, this is a six-figure debt that's tied to your name.","[X decision] is great, but it's also really dangerous. Too many people don't really take into account that [Y hidden risk]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/C_9OcsES4xw/?hl=en,Content Marketing,Education,8,"2,228,407"
The most common problem I'm seeing right now is there's a lot of homeowners who have got low interest rates and they've built up a bunch of equity in their home.,The most common problem I'm seeing right now is [X specific situation],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/DHHp7tlyuIV/?hl=en,Content Marketing,Education,9,"2,209,263"
"So it sounds really counterintuitive, but one of the things you can do to save yourself the most money when you're buying a home is to not negotiate down the price of the home, right?","So it sounds really counterintuitive, but one of the things you can do to [X goal] is to [Y opposite action], right?",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/themortgagekitchen/reel/C-RHXZTyX8K/?hl=en,Content Marketing,Education,10,"2,102,429"
Here's how to turn 28 days of annual leave into 60 days off in 2025.,Here's how to turn [X small number] days of annual leave into [Y large number] days off in [Z year],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,Swipes In,No audio,None,https://www.instagram.com/nischa.me/reel/DDriMYXy4-C/,Content Marketing,Education,1,"10,369,478"
Do these six things with your money as soon as you get paid.,Do these [X number] things with your [Y resource] as soon as you [Z trigger],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C3RuZaOyqJb/,Content Marketing,Education,3,"3,137,205"
This is how much should be in your emergency fund and where to save it based on your employment type.,This is how much should be in your [X fund] and where to [Y action] based on your [Z situation],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C3Cfsk5yC3l/,Content Marketing,Education,4,"2,882,880"
The mistake I made when it comes to money is staying at my first job for too long.,The mistake I made when it comes to [X topic] is [Y specific error],Experimentation,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/nischa.me/reel/C347gEMMrKh/,Content Marketing,Education,5,"2,576,962"
Two things you can do ASAP to set your kids up for life coming from a qualified accountant and a former investment banker,[X number] things you can do ASAP to [Y goal] coming from [Z credible sources],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C_r7zfgSppy/,Content Marketing,Education,6,"2,266,761"
"The inheritance tax rate is 40%, but only 4% of estates in the UK actually pay it. And this is why, coming from a qualified accountant and a former investment banker.","The [X tax] rate is [Y percentage], but only [Z percentage] of [group] actually pay it. And this is why, coming from [credible sources]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C_lGW0gyutD/,Content Marketing,Education,8,"1,403,801"
"The way to always go with the car is buy it outright, if you can, secondhand and three to five year old. That is like the sweet spot where it's depreciated enough at someone else's expense and it won't depreciate as much when you have it.",The way to always go with [X purchase] is [Y strategy]. That is like the sweet spot where [Z benefit explanation],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C34msJQSqjL/,Content Marketing,Education,9,"1,289,743"
"Do these three things as soon as you get paid, coming from a qualified accountant and a former investment banker.","Do these [X number] things as soon as you [Y trigger], coming from [Z credible sources]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/nischa.me/reel/C_QlfS_MrrA/,Content Marketing,Education,10,"1,136,493"
"Do you want to research a disease? Do you want to write a book? Do you want to build an AI-powered robot? Chances are you want to change the world, but might not have the support to do so. Introducing RISE, an initiative that supports brilliant 15-17 year olds worldwide.","Do you want to [X]? Do you want to [Y]? Do you want to [Z]? Chances are you want to [bigger goal], but might not have [obstacle]. Introducing [solution], [description]",Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/ClmgD_AJeBV/,Content Marketing,Education,1,"108,111,634"
The bank offers you a debit card and a credit card. What should you choose?,The [X institution] offers you [Y option] and [Z option]. What should you choose?,Question,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/C2gYo0EtrxJ/,Content Marketing,Education,2,"18,586,821"
"Your teacher announces the highest and lowest grades on the last exam. Somehow, you got the highest. Here's what you did.","Your [X authority] announces [Y results]. Somehow, you got [Z outcome]. Here's what you did",Raw Shock,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/DFgMlQsyYzJ/,Content Marketing,Entertainment,3,"16,811,998"
"The smart kid peeks at your desk and can't stand you outscored him, so he begs you to tell him how. You tell him that you took your notes and turned them into an AI podcast a week before the exam.","The [X person] [Y discovers] and can't stand [Z achievement], so [reaction]. You tell them that [secret method]",Secret Reveal,"Creator in B-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/DDA1cKGS7GY/,Content Marketing,Education,4,"10,638,531"
Should you study with or without music?,Should you [X activity] with or without [Y variable]?,Question,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/C3WfNmvtYBS/,Content Marketing,Education,5,"8,867,795"
"You forgot to study for your exam, but you don't want to fail. Here's what you do.","You forgot to [X prepare] for your [Y event], but you don't want to [Z fail]. Here's what you do",Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/CiijClVJzVT/,Content Marketing,Education,6,"8,320,026"
You take your driving test so you can hang with your friends. Here's what the examiner makes you do.,You take your [X test] so you can [Y motivation]. Here's what [Z authority] makes you do,Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/CuOAJR4Pkb3/,Content Marketing,Education,7,"7,618,345"
"You're studying with YouTube videos, but they're way too long. Here's what you do.","You're [X activity] with [Y resource], but they're [Z problem]. Here's what you do",Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/C5R7xuxtrqh/,Content Marketing,Education,8,"6,822,661"
The best and worst times to study - Your friend chooses the worst times.,The best and worst times to [X activity] - Your friend chooses the worst times,Comparison,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/C9ODmjPSRE8/,Content Marketing,Education,9,"6,812,637"
You look in the mirror and notice your arms look like twigs. Here's what you do to gain muscle.,You look in the mirror and notice [X physical trait]. Here's what you do to [Y goal],Educational/Tutorial,"Creator in B-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/goharsguide/reel/C85fQzCNMz_/,Content Marketing,Education,10,"6,643,185"
"We posted the same video twice. This one has 100,000 views. This one has over 70 million views. Down below, we'll explain why it happened.","We posted the same video twice. This one has [X small number] views. This one has over [Y huge number] views. Down below, we'll explain why it happened",Comparison,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,None,None,No Motion,Music only,Upbeat music,https://www.instagram.com/thecreatorpassport/reel/DHWZdgRyLzQ/,Content Marketing,Education,3,"198,056"
"After growing our Instagram to over 1.1 million followers, here's what we would do if we had to restart from scratch.","After growing our [X platform] to over [Y number] followers, here's what we would do if we had to restart from scratch",Experimentation,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/thecreatorpassport/reel/DDh6BqByXcx/,Content Marketing,Education,4,"141,817"
Want to know how to do this text reveal? Let me show you how.,Want to know how to do this [X technique]? Let me show you how,Question,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,None,None,No Motion,No audio,None,https://www.instagram.com/artofinfluenceco/reel/C8l7SwwSJAW/,Content Marketing,Education,5,"2,212,120"
Who needs a sugar daddy if you have this card? It's basically a social credit card,Who needs a [X traditional thing] if you have this [Y item]? It's basically a [Z modern equivalent],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,None,None,No Motion,No audio,None,https://www.instagram.com/artofinfluenceco/reel/C7_hFybSunM/,Content Marketing,Entertainment,6,"2,089,082"
Here's how to draw on your videos just like this.,Here's how to [X technique] on your videos just like this,Educational/Tutorial,"Arrow/Highlights, Creator in B-Roll",B-Roll - None,Full screen B-roll,None,None,No Motion,No audio,None,https://www.instagram.com/artofinfluenceco/reel/C8jt-nByQ5Z/,Content Marketing,Education,7,"1,737,616"
There's a new way to put text behind your videos and it's easier than ever.,There's a new way to [X technique] and it's easier than ever,Secret Reveal,Creator in B-Roll,B-Roll - None,Full screen B-roll,[X subject] does [Y thing],Plain Text,No Motion,No audio,None,https://www.instagram.com/artofinfluenceco/reel/C-e7Rb7ytDl/,Content Marketing,Education,9,"1,195,716"
"So someone asked me the other day, prove to me that branding works. Alright....","So someone asked me the other day, prove to me that [X concept] works. Alright...",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7179196779240475947,Content Marketing,Education,1,"4,500,000"
"All right, I wanna talk about the three levels of marketing. Today, we're gonna talk about selling you a pen.","All right, I wanna talk about the [X number] levels of [Y topic]. Today, we're gonna talk about [Z example]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7192652442931121450,Content Marketing,Education,2,"1,700,000"
"Why do big brands like Apple, Nike, Disney and McDonalds spend upwards of 7% of their top-line revenue on marketing?",Why do big brands like [X companies] spend upwards of [Y percentage] of their top-line revenue on [Z activity]?,Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-Roll - Swipe Transitions","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.tiktok.com/@brandbosshq/video/7351830611268537630,Content Marketing,Education,3,"1,300,000"
"Oh man, China is having a field day telling the world what everything costs. Okay, so here's the question from a brand standpoint. Are consumers going to now demand more transparency where pricing is concerned....","Oh man, [X entity] is having a field day [Y action]. Okay, so here's the question from a [Z perspective] standpoint. [Question]...",Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7493277430342323498,Content Marketing,Education,4,"971,800"
"Surprise surprise, Jaguar is firing the ad agency responsible for the ""Copy No One"" nonsense that took away 100 years of heritage and replaced it with complete ambiguity.","Surprise surprise, [X company] is firing [Y provider] responsible for the [Z campaign] nonsense that [negative impact]",Secret Reveal,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7504036288413224238,Content Marketing,Entertainment,5,"250,500"
"Most brands play it safe. They follow, they hesitate, they blend in. But champions move differently. They take risks, they adapt, and they dominate.",Most [X entities] play it safe. They [Y safe behaviors]. But champions move differently. They [Z bold behaviors],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Music + SFX,https://www.tiktok.com/@brandbosshq/video/7478396265806482731,Content Marketing,Entertainment,6,"158,800"
"Your brand is not your logo. Its not your color palette, its not your font choices or your website. Those are expressions of your brand, but they are not the engine for growth.","Your [X concept] is not your [Y surface element]. It's not your [Z elements]. Those are expressions of your [X], but they are not the engine for [goal]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7502594704962309422,Content Marketing,Education,7,"57,900"
Here's the golden rule of marketing that McDonald's knows that Five Guys doesn't which is why McDonald's is ten times the size of Five Guys.,Here's the golden rule of [X field] that [Y successful company] knows that [Z less successful company] doesn't which is why [comparison],Comparison,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7477931982819757355,Content Marketing,Education,8,"47,900"
"What are the people at Southwest Airlines thinking? No, no, no, no, no, no. This is so dumb. And so many other businesses have crashed on these rocks. You've gotta know what's gonna come next. All right, here's what I'm talking about.",What are the people at [X company] thinking?,Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@brandbosshq/video/7481743308079828266,Content Marketing,Entertainment,9,"37,900"
"Hey everybody, breaking news. Aldi's packaging team apparently thinks originality is optional, and Mondelez is calling bull.","Hey everybody, breaking news. [X company's] [Y department] apparently thinks [Z value] is optional, and [company] is calling bull",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.tiktok.com/@brandbosshq/video/7512861168164195626,Content Marketing,Entertainment,10,"34,000"
"So when you open a restaurant, the first person that knocks on your door will not be a customer. It'll be someone from Coca-Cola and they will be offering you a free fridge. But is it a free fridge?","So when you open a [X business], the first person that knocks on your door will not be a [Y expected person]. It'll be someone from [Z company] and they will be offering you [deal]. But is it [good]?",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen A-roll (partial graphic overlay), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/daviefogarty/reel/CzdQtBXxTgB/?hl=en,Content Marketing,Education,1,"2,514,861"
"I think I want to build the biggest e-commerce community in the world, so I'm going to launch millionaires.com soon, which is going to be a very large free e-commerce course, because I think information should largely be free.","I think I want to build the biggest [X type] community in the world, so I'm going to launch [Y platform] soon, which is going to be [Z offering], because I think [principle]",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen A-roll (partial graphic overlay), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/daviefogarty/reel/DEUXnC3h5Pm/?hl=en,Content Marketing,Education,6,"893,053"
"Here's how to find $10,000 a day products without going to 50 different websites.",Here's how to find $[X amount] a day products without [Y tedious process],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/daviefogarty/reel/DARNopDqNlV/?hl=en,Content Marketing,Education,9,"470,806"
"Stop designing custom icons. So, designers often feel pressured to design everything custom in their products, including icons. But this isn't great practice, so I recommend these three libraries to save you a bunch of time.","Stop [X common practice]. So, [Y professionals] often feel pressured to [Z expectation]. But this isn't great practice, so I recommend these [number] [solutions] to save you a bunch of time",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/DABHlSOASqt/,Content Marketing,Education,1,"4,296,328"
"Stop designing are-you-sure modals. This is one of the most common UI components, but designers often get this wrong. So in less than 30 seconds, I'm going to show you how to design a better confirmation modal.","Stop designing [X element]. This is one of the most common [Y components], but [Z professionals] often get this wrong. So in less than [time], I'm going to show you how to [better approach]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/DAQf2QEAT7Z/,Content Marketing,Education,2,"3,544,820"
Stop using your brand color as your primary color.,Stop using your [X] as your [Y],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C7ixO4lNaSM/,Content Marketing,Education,3,"3,007,711"
"Stop adding buttons to cards. Super fast. In 30 seconds, I'm going to show you why teams like Nike and also Apple don't add any buttons to their cards.","Stop adding [X element] to [Y component]. Super fast. In [Z time], I'm going to show you why teams like [companies] don't add any [X] to their [Y]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C1ep8naNHpD/,Content Marketing,Education,4,"2,446,734"
"Today, I'm going to show you how to apply better hierarchy to your design. We're going to go from this basic card to applying better visual hierarchy following Apple's principles. Super!","Today, I'm going to show you how to apply better [X concept] to your [Y work]. We're going to go from this basic [Z starting point] to applying better [improvement] following [authority's] principles",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C3Pn3NbLMiR/,Content Marketing,Education,5,"2,141,286"
"Stop adding colors to your UI. In less than 30 seconds, I'm going to show you why using fewer colors is going to help your UI.","Stop adding [X element] to your [Y work]. In less than [Z time], I'm going to show you why [counterintuitive approach] is going to help your [Y]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Swipe Transitions","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C7yo_TjtaX_/,Content Marketing,Education,6,"1,901,659"
"Stop wasting time designing your portfolio. Designers waste so many weeks trying to create the perfect portfolio from scratch. Instead, I recommend heading to framer.com","Stop wasting time [X task]. [Y professionals] waste so many [Z time] trying to create the perfect [output] from scratch. Instead, I recommend [solution]",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Swipe Transitions","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C4IqyTwt0ie/,Content Marketing,Education,7,"1,729,161"
"Stop adding backgrounds to cards. I'm going to show you super fast where you can drop the background and border from your cards. And this technique is used by teams like Apple, Netflix, and Airbnb for their cards.",Stop adding [X element] to [Y component]. I'm going to show you super fast where you can [Z technique]. And this technique is used by teams like [companies] for their [Y],Contrarian/Negative,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-Roll - Swipe Transitions","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/zanderwhitehurst/reel/C5QeamHtT44/,Content Marketing,Education,8,"1,694,328"
"Check this out, this guy's building a real Iron Man suit in his garage. But to do it, he had to invent the world's first personal hydrogen reactor. It's insane.","Check this out, this [X person] is building [Y project]. But to do it, they had to [Z requirement]. It's insane",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X subject] does [Y thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DAi1lWIPFuB/,Tech,Entertainment,1,"17,556,928"
Check this out. These are called life-size floor plans. You can literally walk through your exact home design before you build it. And I think this is the future of how people are gonna build their homes.,Check this out. These are called [X innovation]. You can literally [Y capability]. And I think this is the future of how people are gonna [Z activity],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X subject] does [Y thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/C_iVgDcJLd1/,Tech,Entertainment,2,"14,478,870"
